"Player Name","Played Time (min)","Top Speed (km/h)","Dist. Covered (m)","Low int. kicks (#)","Med. int. kicks (#)","Hight int. kicks (#)","Power Kicks (#)","Kick Power (km/h)","Dribbling Count (#)","Dribbling Dist. (m)","Max. Intensity Run (m)","Max. Intensity Run (#)","High Intensity Run (m)","High Intensity Run (#)","Jogging (m)","Walking (m)","Max. Int. Acceleration (m)","Max. Int. Acceleration (#)","Max. Int. Deceleration (m)","Max. Int. Deceleration (#)","High Int. Acceleration (m)","High Int. Acceleration (#)","High Int. Deceleration (m)","High Int. Deceleration (#)","Session Volume","Session Intensity","Session Intensity Speed","Session Intensity Acceleration","RPE","s-RPE","Player ID","Main Possition","Date","Session ID","Session Name","Session Type"
"Amr Adel Mohamed",106.85,17.9,3227.6,18,19,5,42,41.7,0,0,0,0,0,0,913.7,2313.9,97.6,26,157.2,61,251.6,68,194.4,67,69,76,74,78,0,0,23257,"GK","2024-09-02",50714,"2-9-2024","TRAINING"
"(Abu-Talib) Omar Ahmed Mahmoud Abu-Talib",83.19,26.2,4403.6,25,6,3,34,44.7,5,45.1,10.1,3,279.9,30,1708.4,2405.3,71.8,15,149.3,39,254.3,61,273.5,64,46,50,44,56,0,0,23260,"CB","2024-09-02",50714,"2-9-2024","TRAINING"
"Hassan Mohamed",76.33,26.5,4683.5,1,1,7,9,53.5,6,38.7,31.3,6,353.5,41,1485.6,2813.1,43.5,9,129,40,198.3,39,244,64,66,72,87,58,0,0,23261,"CB","2024-09-02",50714,"2-9-2024","TRAINING"
"(Koufey) Mahmoud Mahmoud Mohamed",79.59,29.2,5118.5,18,13,12,43,63.6,4,41.2,126.5,22,268.1,42,1945.5,2778.5,82.2,18,67,24,226.9,52,216,54,69,74,89,58,0,0,23259,"CB","2024-09-02",50714,"2-9-2024","TRAINING"
"Ali Mohamed Ali Khames",82.78,28.9,5029.5,14,14,13,41,63.8,4,33.2,70.7,12,241.4,51,2595.8,2121.5,186.9,40,187.1,43,429.6,112,283.2,64,53,63,51,75,0,0,23262,"CB","2024-09-02",50714,"2-9-2024","TRAINING"
"Mohamed Karim Mohamed",108.63,16.7,3497.4,5,11,4,20,40.3,0,0,0,0,0,0,918.6,2578.8,79.1,24,85.2,40,166.4,50,163.1,58,74,58,59,58,0,0,23258,"GK","2024-09-02",50714,"2-9-2024","TRAINING"
"Alaa Ahmed Mohamed Issa",87.9,27.3,5283.2,16,8,7,31,62,12,94.3,153.9,24,466.8,62,2036.1,2626.4,100.6,23,99.9,32,327.7,69,251.6,69,77,75,88,61,0,0,23264,"RB","2024-09-02",50714,"2-9-2024","TRAINING"
"Ziad Ali Fathy",95.06,28.8,5186.8,26,12,11,49,55.1,1,16.5,129.7,20,322.9,49,2030.4,2703.8,128.4,28,174.3,58,260.6,58,280.8,69,63,69,85,53,0,0,23268,"CM","2024-09-02",50714,"2-9-2024","TRAINING"
"Salman Mohamed Mohamed",85.72,28.7,5968,18,13,6,37,65.8,9,76.8,86.3,16,519.7,59,2868.9,2493.1,96.3,20,81.2,28,295.4,58,326.7,80,75,69,88,50,0,0,23271,"CM","2024-09-02",50714,"2-9-2024","TRAINING"
"(Baradey) Ali Mohamed Adel El-Baradey",100.36,29.8,5291.6,0,0,0,0,0,0,0,79.3,16,314.5,43,2259.8,2638.1,195.6,47,279,68,384.4,112,313.1,86,81,81,84,78,0,0,23265,"LB","2024-09-02",50714,"2-9-2024","TRAINING"
"(Al-Gazar) Mahmoud Hisham Saad El-Din",76.25,28.9,5268.4,13,9,9,31,50.6,3,25.5,200.4,20,451.2,72,2209,2407.7,140.3,32,88.4,25,341.6,68,360.7,84,55,58,58,59,0,0,23266,"LB","2024-09-02",50714,"2-9-2024","TRAINING"
"(Sergio) Omar Tamer Ahmed Sirag",84.23,27.9,5872.6,19,10,7,36,45.5,2,8.9,43.1,11,504.2,58,2776.1,2549.2,105.5,24,164,47,319.1,71,243.4,60,75,82,92,73,0,0,23269,"CAM","2024-09-02",50714,"2-9-2024","TRAINING"
"Mohamed Mostafa AbuMuslim",100.5,28.3,5256.2,0,0,0,0,0,0,0,34.8,6,335.5,56,2571.4,2314.5,233.1,48,231.3,54,365.2,113,206.3,56,84,73,73,73,0,0,23270,"CM","2024-09-02",50714,"2-9-2024","TRAINING"
"Hassan Mohamed Abdallah",81.6,25.5,5187.5,9,4,2,15,28.2,1,6.9,9.6,3,298.4,34,2346.6,2533,71.2,18,55.4,19,260.9,55,236.4,59,73,76,93,60,0,0,23274,"LW","2024-09-02",50714,"2-9-2024","TRAINING"
"Marwan Mohamed Zakaria",109.83,27.9,6068.3,0,0,0,0,0,0,0,84.4,11,300.2,44,2767.6,2916.1,322.1,69,286.9,70,404.7,121,283.2,81,81,60,60,60,0,0,23273,"LW","2024-09-02",50714,"2-9-2024","TRAINING"
"Belal Ibrahim Hussein",98.13,26.8,5334.3,11,11,9,31,60.9,23,193.7,32.6,9,316.5,44,2223.5,2761.7,101.4,25,123.3,40,285.4,62,195.6,53,73,66,74,58,0,0,23275,"RW","2024-09-02",50714,"2-9-2024","TRAINING"
"Amr Abdel Karim Suleiman",79.75,30.8,5687.3,13,7,7,27,53.9,4,30,204.4,19,380.7,54,2626.5,2475.8,103.4,22,148.5,42,271.7,67,285.2,64,79,81,92,70,0,0,23272,"LW","2024-09-02",50714,"2-9-2024","TRAINING"
"(Al-Gazar) Ziad Mostafa Khaled",91.7,26.7,5133.1,28,12,27,67,79.2,0,0,10.1,2,261.2,52,2982.8,1879.1,293.3,62,274.3,73,436.4,122,407.1,81,59,90,77,103,0,0,23277,"CF","2024-09-02",50714,"2-9-2024","TRAINING"
"Ziad Waheed Eid",88.81,25.7,5229,16,10,8,34,54.7,6,36.7,35.5,10,379.7,49,2401.3,2412.5,112.5,24,117,37,283.2,62,292.5,69,77,67,80,53,0,0,23279,"CF","2024-09-02",50714,"2-9-2024","TRAINING"
"Baraa Mahmoud Galal",94.06,27.8,5863.6,18,24,13,55,78.6,13,105.7,86.4,16,393.6,51,2650.5,2733.1,173.5,36,126.6,33,251.2,49,223.3,55,62,56,52,60,0,0,22561,"CM","2024-09-02",50714,"2-9-2024","TRAINING"
